Author,Rating,Title,Review,Date
Roman Petrov,5,Amazing value-money,"It has the same quality 50Mp Wide and Tele cameras then S23, a little less battery (which is a downside), but I got it for £300, so can't really complain :3",13 October 2023
Dave Wood,5,Excellent phone,"Upgraded from my old S10 to this S22, I'm loving this, camera is excellent, it's perfect for me, battery life is great & it's still a familiar interface. It's also a good size & a perfect fit in my hand.",13 September 2023
Charlie,5,"Nice Size, Good Calue","Big advance over previous phone. I use medical apps on it and it is so much better than before. Samsung keyboard a a bit detailed for my fingers, but can always change to a different one.
Battery doesn't last a full day when used a lot, so I bought a power pack which solves the issue.",14 June 2023
rosco,5,Good,Good phone just be careful that you get the right case for it has I paid 20 pounds for one that amazon recommend and it was the water proof and shock proof case but the finger print ID is not good,13 July 2023
lovelythings,5,BRILLIANT,"Great phone as my Samsung 20 gave up after constant use for nearly 3 years, bought outright as got a Sim Only deal with EE for £8 a month unlimited everything.......would never use any other phone other than Samsung, tried others in the past but Samsung is the best one for me personally.",19 May 2023
A,5,Brilliant brand new phone,"This brand new, sealed in its original packaging Samsung s22 phone is great value for money. It arrived very quickly by Royal Mail special delivery and I am happy with its functioning so far!",29 July 2023
Sam's Mum,2,European Model,BE AWARE THIS IS A EUROPEAN MODEL. This means that apps like Samsung Pay will not work in the UK as the country cannot be changed once registered. Bit rubbish as I use it all of the time. I cannot see anywhere in the description that mentions this. Otherwise the phone seems good so far. Will try to get a replacement.,6 October 2023
Gilbert WRIGHT,3,Disappointing battery life.,I'm really surprised that the battery percentage is down to the low teens every night with very low usage.,15 April 2023
scott lo,5,good quality refurbished,Good quality refurbished,15 October 2023
Amazon Customer,1,software fault with front camera after 4 months use,Lovely phone. Developed software front camera fault after 4 months,15 May 2024
DianeJ,5,Beautiful phone,"Beautiful phone, returned as it was unsuitable for the user.",9 September 2023
David McGurk,5,Gift for my mom,"Have had nothing but positive commentary about it, i have no regrets, was a fantastic buy.",15 August 2023
MikeH,4,Photo quality is excellent,"Slightly disappointed with the battery life, from fully charged in the morning to 40%- 45% by evening time",27 October 2022
Ann,5,Great phone upgraded from Samsung 9,"New phone ordered and came all sealed and prompt service
So far very happy with the phone",17 July 2023
Tahmid,5,The phone is brilliant. I was looking for an upgrade.,"The phone is smooth compared to my S9, it's fast, has a lot of new features. If you're looking for a new phone but don't want to pay the price of iPhone, then go with this one. If not, then purchase one of the higher models. Like S22+ or S22 Ultra.

Overall love the phone, quick, light, fits in my hands. Can't complain.",1 October 2022
Stephen Kenneth moss,5,Thanks its a perfect new phone for me,"Came on time in box with seals in tact , a brand new phone 😊",19 July 2023
Colin S,5,Compact phone,"Compact phone that fits easily into the pocket, many features but can't get the face recognition to work. Battery life OK for my light usage but could see it might be a problem for someone who use's phone a lot.",14 February 2023
Jeff Farrington,4,Mobile phone,"Very good but it was just a phone in a sealed box, no charger lead, ear phones or instructions. A bit different from other Samsung phones.",19 June 2022
Denise,5,Boxed and sealed,Phone arrived within a couple of days and was less than it could be purchased at competitors. Bought because my husband likes his Samsung and he was not disappointed with his upgrade to an S22,19 February 2023
kami,5,Easy to use,Looks good. Meest all my expectations. Great price,24 July 2023
KenM,5,Huge upgrade from my old A50,Camera camera camera!!! Thanks you Samsung,10 July 2023
Ayaan Shaikh,5,Excellent purchase - an all rounded success.,"Was expecting a poor battery life and a mediocre display from this device, but had been instantly proven wrong upon arrival. The phone arrived brand new and sealed, with no delays. As for the actual device, everything has just been ""excellent"". The phone sometimes takes better pictures than my iPhone 15, the battery lasts for days on end, and the UI is of the best that I have seen on a smartphone.

As a dedicated tech reviewer, I highly recommend this phone to anyone who is looking for a capable device below the price of £500/$500.",13 May 2024
nOr,5,Samsung S22 5G Authentic,box is sealed everything's fine,28 June 2023
Harpreet Singh,3,If you've got samsung s21 don't bother upgrading.,"The size of the s22 is a bit too compact compared to the very well sized s21. The power button is annoying too close to the volume down button, if you've got big hands you'll find yourself with a lot of random screenshots.",8 May 2022
AmazonCustomer,5,Great,"So easy to apply, both screen Protector and camera Protector are glass.
Would buy again.",22 April 2023
Cliona B.,5,Amazing Price. Couldn't belive the price.,"Great price for the S22. Including import tax I saved over €200. Perfect packaging, nothing out of place.

Would buy again from seller.",12 February 2023
Terence Gomersall,2,"Two complicated for a normal persn, bt if you are a echno nerd","This phone has all the bells and whstles, but that makes it difficult o understand.
So if you're looking for a simple phone for granny steer well clear of this one.",14 July 2023
S. E. Cook,3,Good price but NOT UK phone,"Works OK but IMEI number proves its an import. And that's OK unless like me you use Samsung pay as it is not supported.

So be aware.",28 July 2022
Kierdo,5,Very nice,"Apparently returned, arrived good as new",19 April 2023
Yusuf Capar,1,Bad Quality,"There were some problems with the phone and it shut down by itself.It's not worth the money I paid
Yusuf",21 January 2024
Amazon Customer,5,Great phone,Great phone at a decent price,16 April 2023
S L Lock,1,It's a US import - and doesn't work,"Bought today, received and it's the US model which, works, but will not activate and will not work on 5G networks. Returned immediately",12 January 2024
Ilze Slavena,2,Hot,I was really desperate for phone. And after when it arrived I use and noticed battery doesn't hold long and phone gets very hot. Third day I use phone for 30 min and I could smell like burning.,10 May 2023
steve willis,5,Great phone,"Great phone, easy to use",24 April 2023
AM,3,Nice phone but battery life is terrible,The battery life was horrible and the phone doesn't work well connecting to Android auto on your car,6 July 2022
Be wary,1,Be wary,"Arrived in box from a person covered in stamps, sent seperate packing note signed for and had details of someone else and their order. Boxes looked used and you could tell seal had been replaced. Did not look new as claimed. Am now awaiting refund.",18 November 2023
Amazon Customer,5,Reliable sender,"Had to replace a fone that was broken, this was delivered within 24 hours, just what I need, and a great price. Would recommend seller",22 October 2022
Rhi,5,Great,Great phone. Everything as described. Royal mail messed up the delivery but when I contacted the seller they replied very promptly with information. Very happy,16 October 2022
loobyloo,5,"Fantastic phone at a great price, fast delivery","Great battery life, charges quickly, a lot cheaper than elsewhere",28 January 2023
David Webster,1,Not a Samsung Galaxy,"This should have been a brand new Samsung Galaxy S22. However, when the outer packaging was opened, it contained a used kindle paperwhite. Hopefully, I'll receive a speedy refund now that I have returned it!",25 November 2023
Brian,5,Xmas present,"Excellent value for money, great photos, very fast and 5G",15 January 2023
Joy Imafidon,5,Excellent,Perfect,2 March 2023
umm-s,1,Where is my money,"I was sold a faulty handset, the battery draines within 2hrs of unused, I had to pay for postage and the sell and amazon are not refunded the full amount and I also have to pay for the postage.

Do not buy from this sell, amazon contacted him to refund my balance and he has been ignoring it.",2 August 2023
Chloe Jagger,1,DO NOT BUY FROM THIS SELLER,"I bought this phone roughly a month ago, everything was working fine until I randomly recieved a notification saying my phone will be locked in 73 hours due to an incomplete trade in. Since I bought the phone from Amazon, that should obviously not happen. So essentially what the seller has done is he bought phones from Samsung saying he will submit his own phone to get them for a cheaper price and then procceded to sell them off for FULL PRICE! Neither Amazon or Samsung could do anything so I had to return the phone which luckily I will be getting my money back for. The phone works fine but it is safer to just buy it from Samsung directly.",7 June 2022
john,1,Sent me an Indian knock off.,I have been sent an Indian phone which requires an Indian Sim card to unlock it. Total rip off. Where am I supposed to get an Indian sim card?,7 November 2023
david mccormack,5,Perfect size,Perfect size not tobig and not to small great for a works phone,2 October 2022
Mark Alan Newman,5,Lovely phone prefect for wife's small hands,Small version of what I have perfect for wife's small hands now learning how it wotks,15 July 2022
Malgorzata Kupczyk,5,Very satisfied with the purchase!,"I'm very satisfied with the phone! Works really well, everything seems to be working just fine.",12 July 2022
CC Massaro,5,Top phone.,Great phone and lots of good features.Very happy with my purchase.,6 August 2022
Daniel mayes,1,What a I received wasn't new as described,"I was skeptical, but bought it and received it with seals broken, the inside the cardboard SIM tool holder was crumpled and the SIM tool was missing, the USB cable cardboard holder was missing aswell with the cable just loose. The phone itself looked clean with all screen protectors intact, but closer inspection shows dirt in the charger and speaker ports. Other reviews state brand new box with seals intact so unsure why I received an already opened box with bits missing.",18 February 2023
Mark,5,Phone,All good thanks 😊,12 October 2022
paul warburton,5,Good value for money,"Easy to use
Personal use",1 October 2022
plm,2,sorry samsung but no plug?,"to not provide a plug with this product is absurd samsung, really?",12 February 2023
Utrinque Paratus III,1,Poor,"Tiny screen, unsuitable for watching clips or looking at pictures",28 November 2023
H,1,Beware of this seller,"My elderly mother bought this phone and as soon as she opened the box she knew it would not suit her arthritic hands. Requested return . All good. Except they deducted £100 from original price. The phone was never switched on, had a sim put in, or used in any way at all.

So be 100% sure you want it before you purchase as £100 is a lot to pay just for look at it……
Can’t give any feedback on use as she never used it!",20 July 2022
Jayden,5,Galaxy S22 Phantom White,Absolutely love it. ❤️ better than S21,2 April 2022
Worst company ever... Never gonna buy from this company.... I returned product since almost 4 weeks.. And yet I didn't get my money back... And in customer service they only say to keep patience.. Worst worst worst experience ever.,1,Complete disaster,Never ever buy from here.. That's what I suggest.... You will waste your money.,20 July 2023
Erjon Koci,2,I love that phone. But the battery was very bad,Everything ok except battery life,10 August 2022
Christian,1,Terrible,"1. The screen got scratched within 2 months of use, and I have no idea even how, probably by sitting in my pocket.

2. Videos freeze the first 3 seconds, and every time you fast forward or rewind a video, it freezes for 3-5 seconds as well, I was reading this is an issue on all video playbacks on all the S22 models. Overpriced junk",12 May 2022
acx786,1,"Broken seal, phone replaced, all Samsung items missing","Broken seal, phone replaced, all Samsung items missing",21 June 2023
Perfect and simple tools for the job. Nomore paying big amounts for tyre fix,5,Great picture and functions,The phone has high quality pics. On the battery l removed the save battery mode which charges the phone to 80% and the battery finishes fast. After disenabling the commad the battery charges fully and last the whole day with no issues.,29 December 2023
Mr. C. J. Lewis,1,Pretty disappointed,"The battery on this phone is absolutely rubbish if I am being brutally honest. Not only that the bloat ware from Samsung makes the phone not very intuitive. If you like Samsung then you're probably used to that.
I upgraded from a Google pixel 4a, not the quickest or best phone, but I am considering swapping back to it. It had a better battery, was simpler to use and smoother in operation.
Battery life example from today. Went to bed about 11 with 100% charge. Sleep mode on over night and all things closed. Wake up 0650 and battery is 83%. What has it been doing over night when all apps closed, all connections turned off etc?
It is now 76% at 0710 and all I have done is browse Amazon for about 10 minutes and write this review.
My daughter is still using my Samsung J6+ from 2018 and that is better than this phone. At least she doesn't have to look for a charger by 11 am each day.
Buyer beware..........",8 December 2023
